DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
6230821,1,10,54.033541,1
6230821,1,11,31.072859,1
6230821,1,12,37.639836,1
6230821,1,13,9.775780,1
6230821,1,14,39.932035,1
6230821,1,15,58.844412,1
6230821,1,16,17.036201,1
6230821,1,17,19.226495,1
6230821,1,18,48.318589,1
6230821,2,1,NaN,0
6230821,2,2,43.794817,1
6230821,2,3,32.602106,1
6230821,2,4,26.272622,1
6230821,2,5,35.452531,1
6230821,2,6,21.620263,1
6230821,2,7,38.299378,1
6230821,2,8,54.809779,1
6230821,2,9,45.627408,1
6230821,2,10,19.452988,1
6230821,2,11,30.193924,1
6230821,2,12,45.111299,1
6230821,2,13,32.071350,1
6230821,2,14,39.462579,1
6230821,2,15,39.978935,1
6230821,2,16,14.566304,1
6230821,2,17,35.885945,1
6230821,2,18,29.047985,1
7230823,1,1,30.418025,1
7230823,1,2,51.144544,1
7230823,1,3,16.247791,1
7230823,1,4,44.916533,1
7230823,1,5,14.248076,1
7230823,1,6,8.212784,1
7230823,1,7,21.056551,1
7230823,1,8,41.261083,1
7230823,1,9,30.010792,1
7230823,1,10,30.284924,1
7230823,1,11,NaN,0
7230823,1,12,45.537208,1
7230823,1,13,44.466606,1
7230823,1,14,56.813785,1
7230823,1,15,15.733094,1
7230823,1,16,41.137778,1
7230823,1,17,23.502530,1
7230823,1,18,40.581493,1
7230823,2,1,24.652116,1
7230823,2,2,7.772764,1
7230823,2,3,26.273112,1
7230823,2,4,21.963452,1
7230823,2,5,17.523573,1
7230823,2,6,37.902891,1
7230823,2,7,47.154500,1
7230823,2,8,NaN,0
7230823,2,9,25.662135,1
7230823,2,10,34.364847,1
7230823,2,11,NaN,0
7230823,2,12,31.721108,1
7230823,2,13,57.733018,1
7230823,2,14,54.857006,1
7230823,2,15,17.230712,1
7230823,2,16,48.873672,1
7230823,2,17,54.874966,1
7230823,2,18,46.210101,1
8230825,1,1,20.056324,1
8230825,1,2,NaN,0
8230825,1,3,12.791135,1
8230825,1,4,56.086021,1
8230825,1,5,24.753520,1
8230825,1,6,24.219953,1
8230825,1,7,8.417847,1
8230825,1,8,NaN,0
8230825,1,9,37.575325,1
8230825,1,10,27.579786,1
8230825,1,11,NaN,0
8230825,1,12,31.032739,1
